Molecule ChEMBL ID,Molecule Name,Standardized_Smiles,pChEMBL Value,Molecular_Weight,AlogP,AlogP,HBD,HBA,RO5_Violations
CHEMBL4205425,,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,10.96,199.53,4.33,1.2,5.0,6.0,0.0
CHEMBL4205954,,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,10.88,171.52,4.32,1.2,5.0,5.0,0.0
CHEMBL4209803,,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,10.87,160.09,4.28,1.4,5.0,5.0,0.0
CHEMBL4217663,,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,10.85,206.97,4.97,2.0,5.0,5.0,0.0
CHEMBL4210316,,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,10.84,183.53,4.63,1.7,5.0,5.0,0.0
CHEMBL4214430,,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2,10.78,199.53,4.33,1.2,6.0,6.0,1.0
CHEMBL4213253,,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O,10.72,164.08,3.67,0.4,5.0,6.0,0.0
CHEMBL225198,,O=C(CCc1cnHc2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,10.7,247.60999999999999,7.36,6.7,3.0,3.0,1.0
CHEMBL225567,,O=C(CCc1cnHc2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,10.7,235.6,6.97,6.2,3.0,3.0,1.0
CHEMBL1083983,,O=C(CCc1cnHc2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,10.7,200.15,6.32,5.4,3.0,3.0,1.0
CHEMBL4214707,,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,10.68,183.53,4.63,1.7,5.0,5.0,0.0
CHEMBL4210041,,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2,10.67,192.09,3.68,0.4,7.0,7.0,1.0
CHEMBL4205144,,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2,10.59,176.09,3.98,0.9,6.0,6.0,1.0
CHEMBL4218191,,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,10.58,148.08,3.97,0.9,5.0,5.0,0.0
CHEMBL3585777,,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC,10.57,228.14000000000001,2.53,-0.6,8.0,8.0,1.0
CHEMBL3585781,,COc1ccc(C(C)NS(N)(=O)=O)cc1,10.57,144.11,0.55,-0.6,5.0,5.0,0.0
CHEMBL3585778,,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1,10.57,228.14000000000001,2.53,-0.6,8.0,8.0,1.0
CHEMBL3585783,,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,10.57,172.12,0.56,-0.6,6.0,6.0,1.0
CHEMBL3585776,,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1,10.57,200.13,2.52,-0.6,7.0,7.0,1.0
CHEMBL3585784,,COc1cccc(OC)c1C(C)NS(N)(=O)=O,10.57,172.12,0.56,-0.6,5.0,6.0,0.0
