"Rank","Docking_ID","ChEMBL_ID","SMILES","pIC50","IC50_nM","MW","logP","RO5_Violations","LE","Composite_Score","Potency_Cat"
1,"ACHE_Cand_01_CHEMBL3585780","CHEMBL3585780","COc1ccccc1C(C)NS(N)(=O)=O",10.57,0.027,230.3,0.55,0,0.622,0.9059,"Extremely Potent (pIC50 ≥ 9)"
2,"ACHE_Cand_02_CHEMBL3585781","CHEMBL3585781","COc1ccc(C(C)NS(N)(=O)=O)cc1",10.57,0.027,230.3,0.55,0,0.622,0.9059,"Extremely Potent (pIC50 ≥ 9)"
3,"ACHE_Cand_03_CHEMBL3585784","CHEMBL3585784","COc1cccc(OC)c1C(C)NS(N)(=O)=O",10.57,0.027,260.3,0.56,0,0.556,0.8719,"Extremely Potent (pIC50 ≥ 9)"
4,"ACHE_Cand_04_CHEMBL3585783","CHEMBL3585783","COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1",10.57,0.027,260.3,0.56,0,0.556,0.8719,"Extremely Potent (pIC50 ≥ 9)"
5,"ACHE_Cand_05_CHEMBL3585782","CHEMBL3585782","COc1ccc(C(C)NS(N)(=O)=O)cc1OC",10.57,0.027,260.3,0.56,0,0.556,0.8719,"Extremely Potent (pIC50 ≥ 9)"
6,"ACHE_Cand_06_CHEMBL4205954","CHEMBL4205954","O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1",10.88,0.013,404.9,4.32,0,0.375,0.8169,"Extremely Potent (pIC50 ≥ 9)"
7,"ACHE_Cand_07_CHEMBL4209803","CHEMBL4209803","Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1",10.87,0.014,398.5,4.28,0,0.375,0.8155,"Extremely Potent (pIC50 ≥ 9)"
8,"ACHE_Cand_08_CHEMBL4205425","CHEMBL4205425","COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O",10.96,0.011,434.9,4.33,0,0.342,0.81,"Extremely Potent (pIC50 ≥ 9)"
9,"ACHE_Cand_09_CHEMBL3585776","CHEMBL3585776","COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1",10.57,0.027,364.4,2.52,0,0.406,0.8091,"Extremely Potent (pIC50 ≥ 9)"
10,"ACHE_Cand_10_CHEMBL3585775","CHEMBL3585775","COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1",10.57,0.027,364.4,2.52,0,0.406,0.8091,"Extremely Potent (pIC50 ≥ 9)"
