Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Potency Category
CHEMBL1082434,,,351.45,0.0,4.29,228,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,IC50,'=',30.0,nM,7.52,,,UO_0000065,21.41,0.4,3.23,19.4,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,30.0,Potent (7-8)
CHEMBL1084790,,,361.49,0.0,4.75,231,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,IC50,'=',12.0,nM,7.92,,,UO_0000065,21.91,0.4,3.17,16.17,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,12.0,Potent (7-8)
CHEMBL102142,,,385.53,0.0,2.75,234,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,IC50,'=',77.0,nM,7.11,,,UO_0000065,18.45,0.36,4.36,13.27,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,77.0,Potent (7-8)
CHEMBL1085031,,,501.61,1.0,3.21,242,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,IC50,'=',6.0,nM,8.22,,,UO_0000065,16.39,0.31,5.01,9.37,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,6.0,Very Potent (8-9)
CHEMBL1084530,,,416.61,1.0,6.76,268,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,IC50,'=',83.0,nM,7.08,,,UO_0000065,17.0,0.31,0.32,14.21,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,83.0,Potent (7-8)
CHEMBL1082738,,,452.65,1.0,7.53,272,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,IC50,'=',8.8,nM,8.06,,,UO_0000065,17.8,0.32,0.53,16.16,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,8.8,Very Potent (8-9)
CHEMBL1086246,,,418.54,0.0,4.9,306,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,IC50,'=',24.7,nM,7.61,,,UO_0000065,18.18,0.34,2.71,14.98,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,24.7,Potent (7-8)
CHEMBL124156,,,404.51,0.0,4.97,309,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,IC50,'=',54.6,nM,7.26,,,UO_0000065,17.95,0.33,2.29,14.3,1,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,54.6,Potent (7-8)
CHEMBL340427,XANTHOSTIGMINE,,446.5,0.0,4.57,311,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,IC50,'=',0.3,nM,9.52,,,UO_0000065,21.33,0.39,4.95,11.76,1,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,0.3,Extremely Potent (pIC50 ≥ 9)
CHEMBL75305,,,480.66,1.0,6.42,334,c1cnc2nc3c(c(NCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,IC50,'=',4.8,nM,8.32,,,UO_0000065,17.31,0.32,1.9,11.0,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,4.8,Very Potent (8-9)
